GbProv,ProvCH,ProvEN,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4
11,北京市,Beijing,790.0052343,936.6105063,1004.986853937560,1098.596606019650,943.7127808,1062.689208214060,1075.127593481070,1136.327871760740,965.4199218,1013.142739972750,1077.408589304380,1172.724392554600,1014.440132547440,1093.283632785180,1138.566967427650,1206.588643742750
12,天津市,Tianjin,288.3042241,348.6188379,377.3411268,401.4273775,337.3102156,380.1552226,398.1077431,414.6780069,339.2193372,389.2826958,407.7941609,414.7953998,356.7025933,398.0702655,425.7496174,438.0897236
13,河北省,Hebei,748.0809122,917.041046,944.4932699,1053.500167597760,862.9947659,967.3626968,995.2220203,1091.994751507240,918.8089153,981.1379546,1033.383236161650,1106.027390597660,975.9584702,1048.364466851590,1092.967760788430,1176.362530857390
14,山西省,Shanxi,372.0535214,433.6552037,475.8167481,529.0197076,440.8967196,498.9777051,577.2325588,675.5434198,519.9424953,568.0616136,605.90825,704.9086232,556.0226599,562.4293057,610.7844145,720.7038791
15,内蒙古,Neimenggu,357.8469384,423.4669796,462.2304841,509.3825276,429.3655747,487.5653763,535.6702997,598.450457,491.9008636,518.9813888,553.4882321,660.8811079,517.5409976,547.5815479,575.7370904,712.2972415
21,辽宁省,Liaoning,518.987342,625.3148657,667.2144813,758.6464302,583.0495741,665.942953,690.7477036,766.6363153,607.0685014,678.2588485,719.609321,775.9147011,649.9851655,719.1765207,755.1190934,827.72321
22,吉林省,Jilin,241.2138718,310.8921465,335.9873161,355.3441461,271.8055601,319.0656977,331.1726243,354.7582949,243.8402756,293.8281901,351.6431808,337.4193835,270.3056573,315.7497856,364.3225869,361.0131358
23,黑龙江省,Heilongjiang,242.9027663,293.2392829,339.656599,515.4019647,267.4450431,321.8468534,364.8768708,496.8109455,288.6693724,329.9385456,392.7770383,518.4005742,302.5293794,342.7200798,391.1733594,513.1827228
31,上海市,Shanghai,838.3870941,1025.883559374480,1054.373419287960,1219.972140503100,995.3606822,1100.282762010640,1108.074441185490,1270.260561368680,1026.942698996580,952.9588141,1184.767024616420,1379.747390201830,1086.546548377160,1169.213938380020,1232.026498390690,1346.195502632040
32,江苏省,Jiangsu,2122.344293190890,2630.175804044270,2719.236188569960,2931.761893904960,2575.805846440080,2866.892084681080,2891.180560912710,3064.958602115070,2662.360670238800,2761.089226241800,3018.441637821750,3205.952521031120,2798.233305495690,2994.360467170960,3140.692463894770,3378.240397953620
33,浙江省,Zhejiang,1353.201873217860,1667.741680151260,1716.034391211330,1944.574213439620,1649.535133697600,1804.970091850630,1805.922758511040,2038.950200121990,1752.461303511420,1786.669477343720,1903.723427209970,2110.135766969000,1861.036703895380,1955.017422766280,2023.888754181290,2211.134614167380
34,安徽省,Anhui,775.3019175,976.1529208,996.3590805,1095.438868537160,923.9451037,1052.331800535410,1071.435274341780,1052.608274145190,985.864991,1081.817731372630,1131.787362359910,1057.128745904520,1047.878081857080,1168.180233724650,1212.335931887390,1105.992361796140
