GbProv,ProvCH,ProvEN,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
11,北京市,Beijing,57.7342857142857,70.0883516483517,54.6495652173913,41.5980434782609,53.2373333333333,47.2200000000000,54.0453260869565,63.0530434782609,66.5733333333333,78.4998901098901,81.3297826086957,70.9343478260870,16.9332203389831
12,天津市,Tianjin,59.8394505494506,68.1102197802198,57.6879347826087,50.3204347826087,38.1662222222222,40.7400000000000,42.3717391304348,46.3000000000000,69.6394444444445,68.9940659340659,69.6657608695652,70.1980434782609,19.7566101694915
13,河北省,Hebei,59.2193406593407,62.8643956043956,43.6356521739130,34.1626086956522,53.1563333333333,28.2247252747253,42.2304347826087,62.1415217391304,61.4171111111111,63.1730769230769,51.7297826086957,54.3373913043478,22.8032203389831
14,山西省,Shanxi,54.1161538461538,60.4705494505495,48.1872826086957,43.4163043478261,53.8070000000000,43.4643956043956,53.2000000000000,58.1264130434783,59.4542222222222,69.3917582417582,70.2888043478261,58.4500000000000,39.5484745762712
15,内蒙古,Neimenggu,48.9420879120879,49.2859340659341,44.2590217391304,52.2995652173913,45.5533333333333,37.9600000000000,44.1472826086957,71.9017391304348,51.0180000000000,54.0969230769231,55.6459782608696,50.9065217391304,25.0594915254237
21,辽宁省,Liaoning,52.4936263736264,48.4720879120879,46.5283695652174,39.0783695652174,44.1466666666667,36.6617582417582,42.8085869565217,53.7842391304348,57.4952222222222,80.8020879120879,68.4686956521739,49.5379347826087,39.5484745762712
22,吉林省,Jilin,54.0913186813187,74.0191208791209,58.5770652173913,51.7526086956522,60.9258888888889,49.6639560439560,52.2632608695652,51.8057608695652,61.1634444444444,70.8439560439560,61.3343478260870,48.9118478260870,26.2572881355932
23,黑龙江省,Heilongjiang,62.6776923076923,78.4235164835165,63.7086956521739,59.3010869565217,70.7054444444444,52.4592307692308,50.3560869565217,62.5903260869565,71.7567777777778,50.5241758241758,45.1086956521739,52.4552173913044,28.1098305084746
31,上海市,Shanghai,52.5525274725275,64.7845054945055,55.8583695652174,48.9726086956522,55.1841111111111,44.8065934065934,53.1808695652174,45.9810869565217,53.7155555555556,81.9831868131868,55.4519565217391,43.4261956521739,18.5967796610170
32,江苏省,Jiangsu,57.3463736263736,58.6790109890110,50.1581521739130,45.2726086956522,51.6893333333333,49.3901098901099,56.9898913043478,48.8352173913044,53.8680000000000,59.3590109890110,56.2632608695652,52.7948913043478,29.8991525423729
